url,article_title,article_id,author,view_number,score,summary
https://www.webtoons.com/zh-hant/slice-of-life/biwoshuai/list?title_no=1440,我的女友比我帥,list?title_no=1440,massstar ,"3,250.3萬",9.71,《觸不可及》作家新作登場！ 我的女朋友某天突然變成男人了?!和一夜之間變成男人的智恩，一同展開的橫衝直撞奇幻愛情羅曼史!
https://www.webtoons.com/zh-hant/romance/7th-anniversary/list?title_no=3171,,list?title_no=3171,LINE WEBTOON ,"637,675",9.32,LINE WEBTOON 七週年《我們的週年紀戀日》撕漫男友代言人 林柏宏魅力登場！男神理想型條件大公開，追了就停不下來的漫畫神作獨家推薦！筆記本準備好~密切鎖定《我們的週年紀戀日-撕漫男友林柏宏專訪》特輯。看完特輯別忘了參加《我們的週年紀戀日》慶祝活動，iPhone12等大獎等你來抽哦！
https://www.webtoons.com/zh-hant/romance/sekai-hutari/list?title_no=1330,只有你和我的世界,list?title_no=1330,Tobe Jiro ,339.9萬,9.72,充滿酸甜青春滋味的戀愛短篇集。你也一定能產生共鳴。
https://www.webtoons.com/zh-hant/romance/putongputong/list?title_no=1678,撲通撲通截稿中,list?title_no=1678,軟豆 / 束兒 ,385.7萬,8.70,一直夢想著成為作家的安庭春，一路走來跌跌撞撞，始終沒有順利踏入夢寐以求的文學界。在好友的介紹下，應徵了S.W.出版社的簽約作家一職，卻意外成為了編輯。面對帥氣卻冷漠的組長、可愛又熱情的作家，進入S.W.出版社的安庭春會發展出什麼故事呢?
https://www.webtoons.com/zh-hant/city-office/first-love-at-30/list?title_no=1839,初戀30歲,list?title_no=1839,Park Soojung / Kim Ralra ,185.2萬,7.74,不准學生談戀愛，被學生戲稱為老處女的奉善花，原來是個連戀愛都沒談過的純情女…她是否會像學生們說的一樣，一輩子無法結婚呢？
https://www.webtoons.com/zh-hant/school/the-girls-talk-nothing/list?title_no=927,Silent Love Story,list?title_no=927,杏 ,"2,684.4萬",9.79,高中生柚月發現了不可告人的秘密，她撞見了酷酷的恒星跟男同學在秘密約會！最近出沒在柚月身邊的風流男生小昴，也是別有隱情！守護不語的他們到最後吧！
https://www.webtoons.com/zh-hant/time-slip/xiangmi/list?title_no=1603,香蜜戀人,list?title_no=1603,JANS ,235.9萬,9.58,算命師說我的前生是相思樹花！為了防止突然冒出的花香繼續擴散，必須找出今世能幫我解決的蜜蜂男！
https://www.webtoons.com/zh-hant/romance/honeywedding/list?title_no=1207,甜蜜婚禮,list?title_no=1207,NOH SEUNG-A / MOON NA-YOUNG ,"2,866.3萬",9.73,某天，準高3生申海秀突然面臨的結婚！？對象是毒蛇老師崔赫俊？雖然同生肖情侶海秀和赫俊都對婚姻很陌生，但在婚後還是發展出甜蜜的戀愛故事。
https://www.webtoons.com/zh-hant/romance/luomanshi/list?title_no=1864,他人的羅曼史,list?title_no=1864,Ho wook / Man jin ,510.5萬,4.09,現實世界中，換男友如換衣，對愛情毫無憧憬的林素熙，在發生交通意外死亡的當天遇到了惡魔小說家A。惡魔A將其從死亡邊緣拉了回來，但條件是讓她進入自己的小說中，成為小說的女主。林素熙為了活命，答應了惡魔A的條件。小說中的她會跟男主張俊秀，男二柳浩俊譜寫一段怎樣的羅曼史呢？這段經歷又能否改變她的愛情觀呢？
https://www.webtoons.com/zh-hant/city-office/sweet-escape/list?title_no=984,甜蜜的逃亡,list?title_no=984,kiyoshin_ ,"2,372.7萬",9.59,因緣際會下，娜娜抽到免費前往威尼斯的機票，而在一次意外中遇見了潤，潤是JI:NX樂團的首席樂手，同時也是娜娜心儀的偶像明星，潤為了逃避經紀人在里阿爾托橋不小心撞到了去威尼斯觀光的娜娜，就在雙方還搞不清楚發生什麼事的情況下，潤牽起娜娜受傷的手，於是展開了一段甜蜜邂逅的故事。
